"Вопрос","Пример ответа"
"Что нужно для оформления на работу?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"Какие документы нужны на оформление?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"Какие документы нужны для оформления на работу?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"Премия? От каких факторов зависит и когда начисляется (квартально или ежемесячно).","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"Соглашение о неразглашении? Есть ли? Что в него входит?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"У вас почасовая или фиксированная ставка?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"У вас случаются переработки? Если да, то насколько часто и как они оплачиваются?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"C чем обычно связаны переработки?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"На какую должность вы меня приглашаете?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"Какая должность?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"Что за вакансия?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"Что будет на собеседовании?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"Как проходит собеседование?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"Сколько я буду получать?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"А какая у вас заработная плата?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"Какая зарплата?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"У вас нет оклада?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"А что такое телемедицина?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"Обучение которые вы предлагаете пройти для начала работы оплачивается?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"В каких городах у вас есть офисы?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"Что думают ваши сотрудники о компании?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"Мне выдадут оборудование для работы или необходимо иметь свое?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"Есть ли в компании штрафы?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"Есть ли должностная инструкция?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"Есть ли оплата за переработки?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"Если я приболел на пару дней, это спокойно воспринимается?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"Можно ли использовать свой банковский счет для перечисления зарплаты?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"Расскажите мне про этапы собеседований?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"Какие в компании Voxys есть программы лояльности для действующих сотрудников?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"Возможно ли трудоустроится,если я уже трудоустроен официально?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"Какие документы необходимы для трудоустройства по трудовому договору?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"Какая зарплата на время испытательного срока?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"Как долго длится испытательный срок?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"Как пройдет мой первый рабочий день?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"Как у вас обстоят дела с отпусками?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"Как часто выплачивается заработная плата?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"Какая скорость роста в компании? Как часто случаются повышения?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"Какие возможности для профессионального роста и развития есть в компании?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"Какие еще будут этапы перед выходом на работу?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"Что конкретно я буду делать на данной должности?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"Что будет входить в мои обязанности?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"Какие карьерные перспективы у меня на этой позиции?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"Куда дальше расти?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"Какой размер заработной платы и из чего она состоит?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"На время испытательного срока есть ли разница в заработной плате?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"Что является критерием прохождения испытательного срока?","Мой коллега сможет рассказать об этом подробнее на собеседовании. Давайте я приглашу вас на встречу. Вы сможете задать все, интересующие вас, вопросы"
"У вас можно работать как самозанятый?","На данный момент, в нашей компании существует возможность трудоустройства на различных условиях. В том числе путем заключения договора на оказание услуг как с самозанятым лицом. Подробнее о формах трудоустройства вы можете узнать на собеседовании."
"У вас можно устроиться по ГПХ?","На данный момент, в нашей компании существует возможность трудоустройства на различных условиях. В том числе путем заключения договора ГПХ. Подробнее о формах трудоустройства вы можете узнать на собеседовании."
"Где можно найти информацию о вашей компании?","На нашем официальном сайте www.voxys.ru"
"Какой у вас сайт?","Наш официальный сайт www.voxys.ru. Можете набрать в любом поисковике - он будет в первых строчках поисковой выдачи."
"Куда можно перезвонить?","Можете перезвонить на номер 8-800-707-1-000. Будем ждать вашего звонка. Хорошего вам дня!"
"Это работа связанная с обзвонами?","Вы будете принимать входящие и совершать исходящие звонки."
"Это работа на телефоне?","Да, вы правы, мы работаем с клиентами по телефону"
"Это работа на звонках?","Да, вы правы, мы работаем с клиентами по телефону"
"Откуда у вас мой номер?","Ваш контактный номер и резюме были опубликованы на сайте для поиска работы."
"Где нашли мое резюме?","Ваш контактный номер и резюме были опубликованы на сайте для поиска работы."
"Собеседование в офисе или онлайн?","Я приглашаю вас на собеседование в формате Online-звонка, вы сможете детально познакомиться с вакансией, специалист ответит на все вопросы"
"Обучение проходить обязательно?","Обучение является обязательным этапом. Оно помогает качественно подготовиться к коммуникации с клиентом. К тому же оно оплачивается с первого дня и позволяет быстро выйти на результат. Обучение проходит быстро и занимает примерно семь дней."
"А можно не посещать обучение или начать работу без него?","Обучение является обязательным этапом. Оно помогает качественно подготовиться к коммуникации с клиентом. К тому же оно оплачивается с первого дня и позволяет быстро выйти на результат. Обучение проходит быстро и занимает примерно семь дней."
"А какое оборудование нужно для работы?","Для удаленной работы потребуется проводной интернет со стабильной скоростью. Остальные вопросы можно будет решить на собеседовании."
"А какие еще есть варианты трудоустройства?","Voxys приглашает к сотрудничеству в любом удобном для тебя формате: путем заключения трудового договора (по ТК РФ), путем заключения договора ГПХ как с физическим лицом, путем заключения договора на оказание услуг как с самозанятым лицом. Подробнее о формах трудоустройства вы можете узнать на собеседовании."
"У вас официальное оформление?","У нас предусмотрено официальное оформление с базовым социальныим пакетом. Более подробную информацию вы можете узнать на собеседовании."
"У вас есть в компании карьерный рост?","Многие административные работники пришли к своим должностям через продвижение по карьерной лестнице, став ведущими специалистами или руководителями групп. Поэтому все в ваших руках, а мы вам с этим поможем."
"Есть другие вакансии?","Да, есть вакансии связанные не только с консультациями. Например, можно оказывать техническую поддержку или информировать клиентов об изменениях или новых предложениях."
"А есть еще какие-то вакансии?","Да, есть вакансии связанные не только с консультациями. Например, можно оказывать техническую поддержку или информировать клиентов об изменениях или новых предложениях. Более подробную информацию можно узнать на собеседовании"
"Какие обязанности мне нужно будет выполнять?","Наши сотрудники консультируют клиентов по продуктам и сервисам, информируют, сопровождают реализацию и осуществляют техническую поддержку. Более подробную информацию можно узнать на собеседовании"
"Что я буду делать на работе?","Всё зависит от выбранного проекта и специфике. Это может быть консультирование клиентов по продутам, информирование, продажи или техподдержка. Более подробную информацию можно узнать на собеседовании"
"Что нужно будет делать?","Всё зависит от выбранного проекта и специфике. Это может быть консультирование клиентов по продутам, информирование, продажи или техподдержка. Более подробную информацию можно узнать на собеседовании"
"Как выплачивается заработная плата?","Заработную плату вы можете получать на свою банковскую карту, сообщив при трудоустройстве свои реквизиты. Зарплата выплачивается два раза в месяц"
"Что нужно чтобы работать удаленно?","Для удаленной работы потребуется проводной интернет со стабильной скоростью. Остальные вопросы можно будет решить на собеседовании."
"У вас можно работать как самозанятый?","На данный момент, в нашей компании существует возможность трудоустройства на различных условиях. В том числе путем заключения договора на оказание услуг как с самозанятым лицом. Подробнее о формах трудоустройства вы можете узнать на собеседовании."
"Вы рассматриваете самозанятых?","На данный момент, в нашей компании существует возможность трудоустройства на различных условиях. В том числе путем заключения договора на оказание услуг как с самозанятым лицом. Подробнее о формах трудоустройства вы можете узнать на собеседовании."
"Сколько лет вашей компании?","В августе две тысячи двадцать четвертого года компании исполнилось четыре года"
"А какая история у вашей компании?","Федеральный центр коммуникаций ""Воксис"" образован в две тысячи двадцатом году в результате масштабного объединения четыре компаний: BEEPER, Comfortel, TELECOMEXPRESS и Лоджиколл -российских контакт-центров c более чем двадцати летним опытом работы в отрасли клиентского сервиса."
"Что вы можете рассказать об истории вашей компании?","Федеральный центр коммуникаций ""Воксис"" образован в две тысячи двадцатом году в результате масштабного объединения четыре компаний: BEEPER, Comfortel, TELECOMEXPRESS и Лоджиколл -российских контакт-центров c более чем двадцати летним опытом работы в отрасли клиентского сервиса."
"Какой карьерный путь может быть в вашей компании?","Многие административные работники пришли к своим должностям через продвижение по карьерной лестнице, став ведущими специалистами или руководителями групп. Поэтому все в ваших руках, а мы вам с этим поможем."
"Есть ли дресс-код в вашей компании при посещении офиса?","При посещении офиса мы рекомендуем придерживаться стиля Smart casual."
"Будет ли у меня наставник на первое время?","Каждого нового сотрудника в компании Voxys на протяжении двух недель сопровождает наставник"
"Какая образовательная платформа у вас есть?","Наша образовательная платформа называется Academy VOXYS. Она насчитывает более ста маршрутизированных программ для обучения сотрудников."
"Что есть интересного на Academy VOXYS?","На Academy VOXYS есть множество дистанционных курсов. От помощи в работе до развития навыков английского и выступлений на публике. Так же есть личный кабинет — идеальный инструмент для управления обучением и удобное мобильное приложение. Ты можешь обучаться в любом удобном месте и в любое удобное время."
"Какие планы у компании Voxys на будущее?","В ближайшие пять лет компания Voxys планирует: - Расширить географию присутствия в России до 50 городов и выйти на международные рынки. - Увеличить штат до 20 000 человек. - Кратно повысить эффективность системы дистанционной работы и обучения операторов."
"Какой у вас рабочий график и можно ли его двигать?","У нас есть различные варианты графика работы два через два, пять через два , а также возможность подработки от четырех часов в день и гибкое начало рабочего дня. Вы можете выбрать наиболее удобный для себя график, а подробнее Вам раскажут на собеседовании."
"Сколько в среднем длится рабочий день?","При полной занятости Вам необходимо отработать сорок часов в неделю. Если вы рассматриваете неполный рабочий день, то норма составляет двадцать часов. Вы можете брать часы сверх графика они будут дополнительно оплачены."
"Я не хочу работать официально. Какие еще варианты вы можете мне предложить?","Мы действуем в рамках закона и оформляем сотрудников официально. В данной ситуации мы можем вам предложить устроиться на пол ставки. Давайте я приглашу вас на встречу. Мой коллега ответит на все интересующие Вас вопросы, а далее вы сможете принять решение."
"Мне сейчас некогда с вами общаться.","Хорошо, мы напишем вам позже. Хорошего дня!"
"Если честно я сомневаюсь.","Я понимаю вас. Для принятия важных решений требуется время. Давайте я приглашу вас на встречу. Мой коллега ответит на все интересующие Вас вопросы, а далее вы сможете принять решение."
"Спасибо за предложение, но для меня это сейчас не актуально.","Если поиск работы станет для вас актуален, со списком вакансий вы всегда можете ознакомиться на нашем сайте или портале hh.ру. Для этого введите в поиске: voxys. Благодарим за уделённое время! До свидания!"
"Мне это не интересно.","Если вас заинтересуют наши вакансии, со списком вакансий вы всегда можете ознакомиться на нашем сайте или портале hh.ру. Для этого введите в поиске: voxys. Благодарим за уделённое время! До свидания!"
"Меня это совершенно не интересует.","Если поиск работы станет для вас актуален, со списком вакансий вы всегда можете ознакомиться на нашем сайте или портале hh.ру. Для этого введите в поиске: voxys. Благодарим за уделённое время! До свидания!"
"Я не хочу работать в вашей компании.","У нас, как и у всех, бывают негативные отзывы. Но их очень мало. Когда люди довольны своей работой, им не всегда приходит в голову оставлять положительный отзыв - они просто продолжают работать. Я предлагаю вам узнать больше о нашей работе и присоединиться к нашей команде, чтобы вы смогли сформировать свое собственное мнение."
"Не хочу работать в Воксис","У нас, как и у всех, бывают негативные отзывы. Но их очень мало. Когда люди довольны своей работой, им не всегда приходит в голову оставлять положительный отзыв - они просто продолжают работать. Я предлагаю вам узнать больше о нашей работе и присоединиться к нашей команде, чтобы вы смогли сформировать свое собственное мнение."
"Мне неудобно до вас добираться на работу.","Мы всегда готовы адаптировать условия работы для комфорта наших сотрудников. У нас есть возможность удаленной работы, что позволит вам работать из дома"
"Мне слишком далеко ездить к вам на работу.","Мы всегда готовы адаптировать условия работы для комфорта наших сотрудников. У нас есть возможность удаленной работы, что позволит вам работать из дома"
"У меня нет опыта работы никакого.","Вы можете быть спокойны. Опыт работы не обязателен. Мы предоставляем обучение для всех новых сотрудников. Ваши коллеги всегда будут помогать и поддерживать вас на протяжении всей вашей работы"
"Я не хочу ходить на обучение.","Понимаю вас, тем не менее обучение является обязательным этапом. Оно помогает качественно подготовиться к коммуникации с клиентом. К тому же оно оплачивается с первого дня и позволяет быстро выйти на результат. Обучение проходит быстро и занимает примерно семь дней."
"Я не хочу ездить в офис.","Мы всегда готовы адаптировать условия работы для комфорта наших сотрудников. У нас есть возможность удаленной работы, что позволит вам работать из дома"
"Мне не подходит график работы 5/2.","У нас есть различные варианты графика работы два через два, пять через два , а также возможность подработки от четырех часов в день и гибкое начало рабочего дня. Вы можете выбрать наиболее удобный для себя график, а подробнее Вам раскажут на собеседовании."
"Я не могу работать полный рабочий день, потому что еще учусь.","У нас есть различные варианты графика работы два через два, пять через два , а также возможность подработки от четырех часов в день и гибкое начало рабочего дня. Вы можете выбрать наиболее удобный для себя график, а подробнее Вам раскажут на собеседовании."
"Я сейчас занят.","Хорошо, мы напишем вам позже. Хорошего дня!"
